Fundo,CNPJ,Cota/Classe,Tipo,Data deliberação,Data emissão / 1ª integralização,Data encerramento/oferta,Quantidade,Volume,VNU,Remuneração,Juros/remuneração,Amortização principal,Status/evidência,Fonte,cnpj_digits,arquivo_origem_tabela,Status curadoria,Data,Classe/Série,Evento,Amortização/Vencimento
MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,33.254.370/0001-04,Cotas Seniores,Sênior,03/03/2026 13:00,Não identificada na extração offline,,,"R$ 1.000,00",,"das pela Administradora, conforme orientação da Gestora em alinhamento com o Mercado Pago, nos termos dos respectivos Compromissos de Investimento, Boletins de Subscrição , do Apêndice da Subclasse Sênior e do Regulamento, conforme o caso. Docusign Envelope ID: C734C7B4-F58D-4EB0-92FC-FCC07825E238 2 VII. Meta de Remuneração : A Meta de Remuneração Sênior será correspondente a 100% (cem por cento) da Taxa DI acrescid…","das pela Administradora, conforme orientação da Gestora em alinhamento com o Mercado Pago, nos termos dos respectivos Compromissos de Investimento, Boletins de Subscrição , do Apêndice da Subclasse Sênior e do Regulamento, conforme o caso. Docusign Envelope ID: C734C7B4-F58D-4EB0-92FC-FCC07825E238 2 VII. Meta de Remuneração : A Meta de Remuneração Sênior será correspondente a 100% (cem por cento) da Taxa DI acrescid…","b forma de capitalização composta, com base em um ano de 252 (duzentos e cinquenta e dois) Dias Úteis da Meta de Remuneração. VIII. Remuneração Sênior: A Remuneração Sênior será paga pelo período de 36 (trinta e seis) meses, em cada Data de Pagamento prevista na tabela do item IX abaixo. IX. Período de Carência de Amortização Sênior: Durante os primeiros 18 (dezoito) meses após a 1ª (primeira) integralização de Cota…",evento de cota,1128337_assembleia_assembleia_1128337_2026-03-03.pdf · ID 1128337 · 03/03/2026 13:00,33254370000104,data/regulatory_profiles/all_fidcs_cotas_emissoes_pagamentos.csv,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração,,,,
MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,37.511.828/0001-14,,,25/05/2021 10:00,Não identificada na extração offline,,,"R$ 400.000.000,00",,,,"icardo Donisete Stabile, Rodrigo Martins Cavalcante, Jessica Bezerra Da Silva, Douglas Shibayama, Raccelli Portela Santonastaso e Marcos Moretti. Para verificar as assinaturas vá ao site https://www.portaldeassinaturas.com.br e utilize o código 6CBC-E56E-ECAC-E8F8. 101330904.1 (v) a alteração do Capítulo Quatorze - Da Amortização Acelerada, Liquidação Extraordinária Do Fundo E Resgate Antecipado De Cotas, em decorrê…",evento de cota,179557_assembleia_assembleia_179557_2021-05-25.pdf · ID 179557 · 25/05/2021 10:00,37511828000114,data/regulatory_profiles/all_fidcs_cotas_emissoes_pagamentos.csv,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração,,,,
MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,37.511.828/0001-14,,,30/12/2021 10:00,Não identificada na extração offline,,,"R$ 5.756.250,46",,"), conforme lista de presença arquivada junto à Administradora, e a representante da Administradora. 3. COMPOSIÇÃO DA MESA: Presidente: Isabella Uno; Secretário: Rafael Polifemi. 5. ORDEM DO DIA: Deliberar sobre , na forma da presente ata da Assembleia Geral Extraordinária de Cotistas (“Ata”): (i) a alteração da remuneração do Agente de Cobrança , a qual passará a ser equivalente a 0,5% (cinco décimos por cento) ao…","), conforme lista de presença arquivada junto à Administradora, e a representante da Administradora. 3. COMPOSIÇÃO DA MESA: Presidente: Isabella Uno; Secretário: Rafael Polifemi. 5. ORDEM DO DIA: Deliberar sobre , na forma da presente ata da Assembleia Geral Extraordinária de Cotistas (“Ata”): (i) a alteração da remuneração do Agente de Cobrança , a qual passará a ser equivalente a 0,5% (cinco décimos por cento) ao…","o valor do Patrimônio Líquido do Fundo, observado o valor mínimo mensal de R$30.000,00 (trinta mil reais).” (vi) a alteração do item 19.2 do Regulamento d o Fundo, o qua l passará a vigorar com a seguinte redação: “19.2. Até a Data Limite de Investimento em Direitos Creditórios e/ou a ocorrência de um Evento de Amortização Acelerada, de um Evento de Avaliação ou de um Evento de Liquidação do Fundo, o Administrador d…",evento de cota,296735_assembleia_assembleia_296735_2021-12-30.pdf · ID 296735 · 30/12/2021 10:00,37511828000114,data/regulatory_profiles/all_fidcs_cotas_emissoes_pagamentos.csv,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração,,,,
MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,37.511.828/0001-14,Cotas Seniores (conforme definido no Regulamento),Sênior,29/04/2022 10:00,Não identificada na extração offline,,,"R$ 500.000.000,00",,,,"o Regulamento do Fundo (Limites de Concentração), o qual passará a vigorar com a redação constante do Anexo B a esta Ata; e 2 (iv) mediante a aprovação dos itens anteriores, consequentemente, autorizar a Administradora a tomar todas as medidas necessárias ao cumprimento das deliberações desta Ata, nos termos e prazos exigidos pela regulamentação. 6. DELIBERAÇÕES: Examinadas e debatidas as matérias constantes da Orde…",evento de cota,297780_assembleia_assembleia_297780_2022-04-29.pdf · ID 297780 · 29/04/2022 10:00,37511828000114,data/regulatory_profiles/all_fidcs_cotas_emissoes_pagamentos.csv,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração,,,,
MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,37.511.828/0001-14,,,14/10/2022 17:00,Não identificada na extração offline,,,"R$ 42.297.479,55",,"”), conforme lista de presença arquivada junto à Administradora, e a representante da Administradora. 3. COMPOSIÇÃO DA MESA: Presidente: Isabella Uno; Secretário: Juliana Gurzoni. 5. ORDEM DO DIA: Deliberar sobre, na forma da presente ata da Assembleia Geral Extraordinária de Cotistas (“Ata”): (i) a alteração da remuneração aplicável ao Agente de Recebimento e ao Agente de Cobrança CCB e consequente alteração da Clá…","”), conforme lista de presença arquivada junto à Administradora, e a representante da Administradora. 3. COMPOSIÇÃO DA MESA: Presidente: Isabella Uno; Secretário: Juliana Gurzoni. 5. ORDEM DO DIA: Deliberar sobre, na forma da presente ata da Assembleia Geral Extraordinária de Cotistas (“Ata”): (i) a alteração da remuneração aplicável ao Agente de Recebimento e ao Agente de Cobrança CCB e consequente alteração da Clá…","ii) a alteração da redação do s itens 19.2, 19.3 e 19.4 do Capítulo Dezenove do Regulamento do Fundo, de forma a restar clara a forma de alocação dos recursos do Fundo, os quais passarão a vigorar com a seguinte redação: 19.2. Até a Data Limite de Investimento em Direitos Creditórios e/ou a ocorrência de um Evento de Amortização Acelerada, de um Evento de Avaliação ou de um Evento de Liquidação do Fundo, o Administr…",evento de cota,366672_assembleia_assembleia_366672_2022-10-14.pdf · ID 366672 · 14/10/2022 17:00,37511828000114,data/regulatory_profiles/all_fidcs_cotas_emissoes_pagamentos.csv,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração,,,,
MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,37.511.828/0001-14,COTAS SENIORES 110,Sênior,12/09/2023,Não identificada na extração offline,,,,,"nos termos do Contrato de Gestão. “Relatório de Acompanhamento” Relatório mensal a ser elaborado e disponibilizado pelo Gestor aos Cotistas e ao Administrador até o 16º (décimo sexto) dia (inclusive) do mês calendário (ou o Dia Útil subsequente, caso a data máxima para disponibilização não seja um Dia Útil). ""Remuneração do Administrador"" A remuneração devida ao Administrador, conforme prevista no Capítulo Dezoito d…","nos termos do Contrato de Gestão. “Relatório de Acompanhamento” Relatório mensal a ser elaborado e disponibilizado pelo Gestor aos Cotistas e ao Administrador até o 16º (décimo sexto) dia (inclusive) do mês calendário (ou o Dia Útil subsequente, caso a data máxima para disponibilização não seja um Dia Útil). ""Remuneração do Administrador"" A remuneração devida ao Administrador, conforme prevista no Capítulo Dezoito d…","ITÓRIOS 48 CAPÍTULO NOVE – DOS CRITÉRIOS DE AVALIAÇÃO DOS DIREITOS CREDITÓRIOS E DOS ATIVOS FINANCEIROS INTEGRANTES DA CARTEIRA DO FUNDO 50 CAPÍTULO DEZ - DAS CARACTERÍSTICAS, DIREITOS, CONDIÇÕES DE EMISSÃO, SUBSCRIÇÃO E INTEGRALIZAÇÃO DAS COTAS 50 CAPÍTULO ONZE – DA ASSEMBLEIA GERAL DE COTISTAS 58 CAPÍTULO DOZE – DA AMORTIZAÇÃO E DO RESGATE ORDINÁRIO DAS COTAS 68 CAPÍTULO TREZE – DOS EVENTOS DE AVALIAÇÃO E LIQUIDAÇ…",evento de cota,521557_regulamento_regulamento_521557_2023-09-12.pdf · ID 521557 · 12/09/2023,37511828000114,data/regulatory_profiles/all_fidcs_cotas_emissoes_pagamentos.csv,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração,,,,
MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,37.511.828/0001-14,Cotas Seniores da Primeira,Sênior,12/09/2023 10:00,Não identificada na extração offline,,,"R$250,00",,"erador igual ao número de dias a partir da data do Evento de Pagamento Qualificado até a Data Limite de Investimento em Direitos Creditórios e um denominador igual a 360 (trezentos e sessenta), conforme memória de cálculo apresentada na forma Anexo A a este Suplemento. 10 728393214.1 Rendimento Utilização Mínima: Remuneração semestral a ser incorporada no valor da Cota Sênior com base na diferença entre (i) a soma d…","erador igual ao número de dias a partir da data do Evento de Pagamento Qualificado até a Data Limite de Investimento em Direitos Creditórios e um denominador igual a 360 (trezentos e sessenta), conforme memória de cálculo apresentada na forma Anexo A a este Suplemento. 10 728393214.1 Rendimento Utilização Mínima: Remuneração semestral a ser incorporada no valor da Cota Sênior com base na diferença entre (i) a soma d…","forma da presente ata de Assembleia Geral Extraordinária de Cotistas (“Ata”), sobre: (i) a alteração dos itens (iv) e (vi) da Cláusula 7.4 do Regulamento; (ii) a alteração do item (h) e inclusão de novo item (t) relacionado aos Limites de Concentração descritos Anexo VIII do Regulamento; (iii) a alteração da Forma de Amortização prevista no Suplemento de Cotas Seniores da Primeira Emissão e no Suplemento de Cotas Se…",evento de cota,521510_assembleia_assembleia_521510_2023-09-12.pdf · ID 521510 · 12/09/2023 10:00,37511828000114,data/regulatory_profiles/all_fidcs_cotas_emissoes_pagamentos.csv,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração,,,,
MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,37.511.828/0001-14,COTAS SENIORES 110,Sênior,10/06/2024,Não identificada na extração offline,,,,,"Pago nos termos do Contrato de Gestão. “Relatório de Acompanhamento” Relatório mensal a ser elaborado e disponibilizado pelo Gestor aos Cotistas e ao Administrador até o 16º (décimo sexto) dia (inclusive) do mês calendário (ou o Dia Útil subsequente, caso a data máxima para disponibilização não seja um Dia Útil). ""Remuneração do Administrador"" A remuneração devida ao Administrador, conforme prevista no Capítulo Dezo…","Pago nos termos do Contrato de Gestão. “Relatório de Acompanhamento” Relatório mensal a ser elaborado e disponibilizado pelo Gestor aos Cotistas e ao Administrador até o 16º (décimo sexto) dia (inclusive) do mês calendário (ou o Dia Útil subsequente, caso a data máxima para disponibilização não seja um Dia Útil). ""Remuneração do Administrador"" A remuneração devida ao Administrador, conforme prevista no Capítulo Dezo…","ITÓRIOS 48 CAPÍTULO NOVE – DOS CRITÉRIOS DE AVALIAÇÃO DOS DIREITOS CREDITÓRIOS E DOS ATIVOS FINANCEIROS INTEGRANTES DA CARTEIRA DO FUNDO 50 CAPÍTULO DEZ - DAS CARACTERÍSTICAS, DIREITOS, CONDIÇÕES DE EMISSÃO, SUBSCRIÇÃO E INTEGRALIZAÇÃO DAS COTAS 50 CAPÍTULO ONZE – DA ASSEMBLEIA GERAL DE COTISTAS 58 CAPÍTULO DOZE – DA AMORTIZAÇÃO E DO RESGATE ORDINÁRIO DAS COTAS 68 CAPÍTULO TREZE – DOS EVENTOS DE AVALIAÇÃO E LIQUIDAÇ…",evento de cota,678673_regulamento_regulamento_678673_2024-06-10.pdf · ID 678673 · 10/06/2024,37511828000114,data/regulatory_profiles/all_fidcs_cotas_emissoes_pagamentos.csv,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração,,,,
MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,37.511.828/0001-14,cotas seniores na Cota Sênior,Sênior,12/07/2024 10:00,Não identificada na extração offline,,,,,,,"teração da definição de “Alteração de Controle” prevista no Regulamento do Fundo para ajustar a previsão de controle da MeLi sobre o Mercado Pago, para incluir previsão de alteração de controle com relação ao Mercado Pago e para excluir a hipótese do item (iii) da definição; 729552286.1 (vi) alteração da definição de “Amortização Acelerada” para adaptação da redação às previsões do Regulamento do Fundo; (vii) a alte…",evento de cota,699514_assembleia_assembleia_699514_2024-07-12.pdf · ID 699514 · 12/07/2024 10:00,37511828000114,data/regulatory_profiles/all_fidcs_cotas_emissoes_pagamentos.csv,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração,,,,
MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,37.511.828/0001-14,Cotas Subordinadas Mezanino do,Mezanino,13/06/2025 10:00,Não identificada na extração offline,,,"R$250,00",,"zanine Quotas of the Fund in a single subclass, pursuant to the complement attached to this Minutes as Annex IV, intended for Professional Investors; b. a inclusão da definição de “Benchmark Mezanino”, “Concorrente”, “Cotas Subordinadas Mezanino”, “Cotas Subordinadas Mezanino em Circulação”, “Justa Causa”, “Meta de Rentabilidade Mezanino”, “Transferências Permitidas”, “Valor Máximo de Investimento Mezanino” e “Valor…","zanine Quotas of the Fund in a single subclass, pursuant to the complement attached to this Minutes as Annex IV, intended for Professional Investors; b. a inclusão da definição de “Benchmark Mezanino”, “Concorrente”, “Cotas Subordinadas Mezanino”, “Cotas Subordinadas Mezanino em Circulação”, “Justa Causa”, “Meta de Rentabilidade Mezanino”, “Transferências Permitidas”, “Valor Máximo de Investimento Mezanino” e “Valor…","“Mezzanine Benchmark”, “Competitors, Subordinated Mezzanine Quotas”, “Outstanding Subordinated Mezzanine Quotas” “Just Cause”, “Mezzanine Profitability Target”, “Permitted Transfers”, “Maximum Mezzanine Value” and “Paid-in Amount”; c. a alteração da definição de “Direito de Dissidência” para permitir o direito da Amortização Final das Cotas Subordinadas Mezanino pelos Cotistas Subordinados Mezanino, em caso de decis…",evento de cota,939684_assembleia_assembleia_939684_2025-06-13.pdf · ID 939684 · 13/06/2025 10:00,37511828000114,data/regulatory_profiles/all_fidcs_cotas_emissoes_pagamentos.csv,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração,,,,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Cotas Seniores” Seniores a ser realizada no caso da ocorrência d,Sênior,24/05/2021,Não identificada na extração offline,,,,,"Antonio Correa Bosco e Marcos Moretti. Para verificar as assinaturas vá ao site https://www.portaldeassinaturas.com.br:443 e utilize o código 87C5-CBA4-0E06-CBAE. “Cotas Seniores” Significam as Cotas da classe sênior, que não serão subordinadas a nenhuma outra classe de Cota para fins de Amortização, pagamento de Remuneração das Cotas Seniores e Resgate, na forma desse Regulamento. “Cotas Subordinadas” Significam as…","Antonio Correa Bosco e Marcos Moretti. Para verificar as assinaturas vá ao site https://www.portaldeassinaturas.com.br:443 e utilize o código 87C5-CBA4-0E06-CBAE. “Cotas Seniores” Significam as Cotas da classe sênior, que não serão subordinadas a nenhuma outra classe de Cota para fins de Amortização, pagamento de Remuneração das Cotas Seniores e Resgate, na forma desse Regulamento. “Cotas Subordinadas” Significam as…","“Agência de Classificação de Risco” Significa a Fitch Ratings Brasil Ltda, devidamente credenciada perante a CVM, contratada pela Administradora para elaborar a classificação de risco das Cotas Seniores. “Agente de Cobrança” Significa as Cedentes, responsáveis pela cobrança dos Direitos Creditórios inadimplidos. “Amortização Extraordinária Significa a amortização extraordinária das Cotas Este documento foi assinado…",evento de cota,201188_regulamento_regulamento_201188_2021-05-24.pdf · ID 201188 · 24/05/2021,41970012000126,data/regulatory_profiles/all_fidcs_cotas_emissoes_pagamentos.csv,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração,,,,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Cotas Seniores” Seniores a ser realizada no caso da ocorrência d,Sênior,25/08/2021,Não identificada na extração offline,,,,,"rado entre o Fundo, representado pela Administradora, e a Gestora. “Cotas” Significam as Cotas Seniores e as Cotas Subordinadas, quando referidas em conjunto. “Cotas Seniores” Significam as Cotas da classe sênior, que não serão subordinadas a nenhuma outra classe de Cota para fins de Amortização, pagamento de Remuneração das Cotas Seniores e Resgate, na forma desse Regulamento. “Cotas Subordinadas” Significam as Cot…","rado entre o Fundo, representado pela Administradora, e a Gestora. “Cotas” Significam as Cotas Seniores e as Cotas Subordinadas, quando referidas em conjunto. “Cotas Seniores” Significam as Cotas da classe sênior, que não serão subordinadas a nenhuma outra classe de Cota para fins de Amortização, pagamento de Remuneração das Cotas Seniores e Resgate, na forma desse Regulamento. “Cotas Subordinadas” Significam as Cot…","“Agência de Classificação de Risco” Significa a Fitch Ratings Brasil Ltda, devidamente credenciada perante a CVM, contratada pela Administradora para elaborar a classificação de risco das Cotas Seniores. “Agente de Cobrança” Significa as Cedentes, responsáveis pela cobrança dos Direitos Creditórios inadimplidos. “Amortização Extraordinária Significa a amortização extraordinária das Cotas 5 das Cotas Seniores” Senior…",evento de cota,211642_regulamento_regulamento_211642_2021-08-25.pdf · ID 211642 · 25/08/2021,41970012000126,data/regulatory_profiles/all_fidcs_cotas_emissoes_pagamentos.csv,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração,,,,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Cotas Seniores para alterar o campo “Data de Pagamento”,Sênior,25/11/2021,Não identificada na extração offline,,,,,"o) das Cotas de emissão do Fundo em circulação (“Cotistas”). Compareceu, ainda, o representante legal da Administradora. 3. COMPOSIÇÃO DA MESA: Presidente: Juliana Gurzoni; Secretária: Cristiani Mendes Gonçalves. 4. ORDEM DO DIA: Deliberar sobre: (i) alteração do regulamento do fundo de forma a restar claro que a remuneração do Agente de Recebimento compõe a Taxa de Administração; (ii) alteração do Suplemento das Co…","o) das Cotas de emissão do Fundo em circulação (“Cotistas”). Compareceu, ainda, o representante legal da Administradora. 3. COMPOSIÇÃO DA MESA: Presidente: Juliana Gurzoni; Secretária: Cristiani Mendes Gonçalves. 4. ORDEM DO DIA: Deliberar sobre: (i) alteração do regulamento do fundo de forma a restar claro que a remuneração do Agente de Recebimento compõe a Taxa de Administração; (ii) alteração do Suplemento das Co…",,evento de cota,241163_regulamento_regulamento_241163_2021-11-25.pdf · ID 241163 · 25/11/2021,41970012000126,data/regulatory_profiles/all_fidcs_cotas_emissoes_pagamentos.csv,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração,,,,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Cotas Seniores,Sênior,07/07/2022 17:00,Não identificada na extração offline,,,"R$1.200.000.000,00",,,,,evento de cota,327165_assembleia_assembleia_327165_2022-07-07.pdf · ID 327165 · 07/07/2022 17:00,41970012000126,data/regulatory_profiles/all_fidcs_cotas_emissoes_pagamentos.csv,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração,,,,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,COTAS SENIORES 119,Sênior,26/04/2023,Não identificada na extração offline,,,,,"%; e (ii) 100,00% – [(PP x MS) – (ESL x PMP)] onde: PP = Perda Ponderada MS = múltiplo de stress equivalente a 3,00 5 ESL = Excesso de spread líquido, equivalente a Taxa Interna de Retorno dos Direitos Creditórios Adquiridos Adimplentes, subtraído (i) o somatório (a) da Taxa de Administração (a qual inclui a remuneração do Agente de Recebimento) e (b) da remuneração dos Agentes de Cobrança e os demais custos de cobr…","%; e (ii) 100,00% – [(PP x MS) – (ESL x PMP)] onde: PP = Perda Ponderada MS = múltiplo de stress equivalente a 3,00 5 ESL = Excesso de spread líquido, equivalente a Taxa Interna de Retorno dos Direitos Creditórios Adquiridos Adimplentes, subtraído (i) o somatório (a) da Taxa de Administração (a qual inclui a remuneração do Agente de Recebimento) e (b) da remuneração dos Agentes de Cobrança e os demais custos de cobr…","ITÓRIOS 47 CAPÍTULO NOVE – DOS CRITÉRIOS DE AVALIAÇÃO DOS DIREITOS CREDITÓRIOS E DOS ATIVOS FINANCEIROS INTEGRANTES DA CARTEIRA DO FUNDO 50 CAPÍTULO DEZ - DAS CARACTERÍSTICAS, DIREITOS, CONDIÇÕES DE EMISSÃO, SUBSCRIÇÃO E INTEGRALIZAÇÃO DAS COTAS 50 CAPÍTULO ONZE – DA ASSEMBLEIA GERAL DE COTISTAS 61 CAPÍTULO DOZE – DA AMORTIZAÇÃO E DO RESGATE ORDINÁRIO DAS COTAS 70 CAPÍTULO TREZE – DOS EVENTOS DE AVALIAÇÃO E LIQUIDAÇ…",evento de cota,451466_regulamento_regulamento_451466_2023-04-26.pdf · ID 451466 · 26/04/2023,41970012000126,data/regulatory_profiles/all_fidcs_cotas_emissoes_pagamentos.csv,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração,,,,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Cotas Seniores do Mercado Crédito II Brasil,Sênior,09/08/2023 09:00,Não identificada na extração offline,,,"R$561,60",,,,,evento de cota,504535_assembleia_assembleia_504535_2023-08-09.pdf · ID 504535 · 09/08/2023 09:00,41970012000126,data/regulatory_profiles/all_fidcs_cotas_emissoes_pagamentos.csv,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração,,,,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,,,03/07/2024 17:31,Não identificada na extração offline,,,"R$1.000,00",,",00%; e (ii) 100,00% – [(PP x MS) – (ESL x PMP)] onde: PP = Perda Ponderada MS = múltiplo de stress equivalente a 3,00 ESL = Excesso de spread líquido, equivalente a Taxa Interna de Retorno dos Direitos Creditórios Adquiridos Adimplentes, subtraído (i) o somatório (a) da Taxa de Administração (a qual inclui a remuneração do Agente de Recebimento) e (b) da remuneração dos Agentes de Cobrança e os demais custos de cob…",",00%; e (ii) 100,00% – [(PP x MS) – (ESL x PMP)] onde: PP = Perda Ponderada MS = múltiplo de stress equivalente a 3,00 ESL = Excesso de spread líquido, equivalente a Taxa Interna de Retorno dos Direitos Creditórios Adquiridos Adimplentes, subtraído (i) o somatório (a) da Taxa de Administração (a qual inclui a remuneração do Agente de Recebimento) e (b) da remuneração dos Agentes de Cobrança e os demais custos de cob…","zo de distribuição; (2) com a colocação da totalidade das Cotas Subordinadas Mezanino; ou (3) por decisão do coordenador líder, observados os termos do contrato de distribuição aplicável. Data Limite de Chamada de Capital Último Dia Útil do mês de junho de 2025 (inclusive), (b) a data em que ocorrer um Evento de Amortização Acelerada (exclusive), (c) a data em que ocorrer um Evento de Avaliação (exclusive), ou (d) a…",evento de cota,691625_assembleia_assembleia_691625_2024-07-03.pdf · ID 691625 · 03/07/2024 17:31,41970012000126,data/regulatory_profiles/all_fidcs_cotas_emissoes_pagamentos.csv,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração,,,,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,,,10/07/2024,Não identificada na extração offline,,,"R$ 1.000,00",,,,"de R$ 1.000,00 (mil reais), perfazendo o montante total de até R$ 400.000.000,00 (quatrocentos milhões de reais). A OFERTA É DESTINADA EXCLUSIVAMENTE A INVESTIDORES PROFISSIONAIS. NOS TERMOS DO ART. 9º DA RESOLUÇÃO CVM 160, FOI DISPENSADA A DIVULGAÇÃO DE PROSPECTO PARA A REALIZAÇÃO DESTA OFERTA. Cronograma da Oferta e Prazo de Distribuição: A oferta inicia-se nesta data e encerrar-se-á com a publicação do anúncio de…",emissão,702576_emissao_emissao_702576_2024-07-10.pdf · ID 702576 · 10/07/2024,41970012000126,data/regulatory_profiles/all_fidcs_cotas_emissoes_pagamentos.csv,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração,,,,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,classe subordinada júnior (“Cotas,Subordinada,13/11/2024 10:00,Não identificada na extração offline,,,"R$ 300.000.000,00",,,,"te de custódia e/ou da Administradora na qualidade de escriturador das cotas; e e) Direito de Preferência: os atuais Cotistas do Fundo não terão qualquer direito de preferência para a subscrição de cotas da Nova Emissão; f) Período de colocação: a subscrição das Cotas, objeto da Nova Emissão, deverão ser realizadas no prazo máximo de 180 (cento e oitenta) dias , contados da data de efeitos do presente instrumento; 4…",evento de cota,809112_assembleia_assembleia_809112_2024-11-13.pdf · ID 809112 · 13/11/2024 10:00,41970012000126,data/regulatory_profiles/all_fidcs_cotas_emissoes_pagamentos.csv,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração,,,,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,,,06/01/2025,Não identificada na extração offline,,,"R$ 400.000.000,00",,,,,emissão,813561_emissao_emissao_813561_2025-01-06.pdf · ID 813561 · 06/01/2025,41970012000126,data/regulatory_profiles/all_fidcs_cotas_emissoes_pagamentos.csv,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração,,,,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Cotas Subordinadas Júnior da Classe Única do Fundo (“Cotas”),Subordinada,12/06/2025,Não identificada na extração offline,,,"R$ 500.000.000,00",,,,,evento de cota,999523_assembleia_assembleia_999523_2025-06-12.pdf · ID 999523 · 12/06/2025,41970012000126,data/regulatory_profiles/all_fidcs_cotas_emissoes_pagamentos.csv,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração,,,,
SELLER,50.473.039/0001-02,Sênior 1ª série,Sênior,22/05/2023,31/05/2023,31/05/2023 (liquidação ajustada; encerramento máximo 20/11/2023),1.000.000,R$ 1.000.000.000,R$ 1.000,"DI + 1,60% a.a. (252 d.u.)","Semestral, a cada 6 meses a partir do 6º mês até a amortização final","15/12/2025: 25,00%; 15/01/2026: 33,33%; 15/02/2026: 50,00%; 15/03/2026: 100,00%",Data de liquidação ajustada para 31/05/2023; suplemento traz calendário completo,468755 p.3; 471622 p.2; 467929 pp.115-117,50473039000102,reports/seller_cotas_emissoes_pagamentos.csv,,,,,
