Fundo,CNPJ,Cota/Classe,Tipo,Data deliberação,Data emissão / 1ª integralização,Data encerramento/oferta,Quantidade,Volume,VNU,Remuneração,Juros/remuneração,Amortização principal,Status/evidência,Fonte,Status curadoria,arquivo_origem_tabela
CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,54.218.941/0001-25,1ª série sênior,Sênior,14/03/2024,15/04/2024,22/04/2024,291.000,"R$ 291.000.000,00","R$ 1.000,00",Benchmark em apêndice; spread não localizado nos PDFs baixados,Benchmark em apêndice; spread não localizado nos PDFs baixados,Pagamento de remuneração e amortização conforme apêndice; cronograma não localizado nos PDFs baixados,Curadoria Cloudwalk; oferta e volume extraídos de avisos/anúncios; spread não localizado,620351_emissao_emissao_620351_2024-03-14.pdf · 643242_emissao_emissao_643242_2024-04-22.pdf · 644982_emissao_emissao_644982_2024-04-25.pdf,curado documental; termos econômicos extraídos de regulamento/ata/oferta,data/regulatory_profiles/cloudwalk_cotas_emissoes_pagamentos.csv
CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,54.219.179/0001-00,1ª série sênior,Sênior,14/03/2024,15/04/2024,22/04/2024,142.500,"R$ 142.500.000,00","R$ 1.000,00",Benchmark em apêndice; spread não localizado nos PDFs baixados,Benchmark em apêndice; spread não localizado nos PDFs baixados,Pagamento de remuneração e amortização conforme apêndice; cronograma não localizado nos PDFs baixados,Curadoria Cloudwalk; oferta e volume extraídos de avisos/anúncios; spread não localizado,620353_emissao_emissao_620353_2024-03-14.pdf · 643243_emissao_emissao_643243_2024-04-22.pdf · 644983_emissao_emissao_644983_2024-04-25.pdf,curado documental; termos econômicos extraídos de regulamento/ata/oferta,data/regulatory_profiles/cloudwalk_cotas_emissoes_pagamentos.csv
CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,54.248.022/0001-02,1ª série sênior,Sênior,14/03/2024,16/04/2024,22/04/2024,240.000,"R$ 240.000.000,00","R$ 1.000,00",Benchmark em apêndice; spread não localizado nos PDFs baixados,Benchmark em apêndice; spread não localizado nos PDFs baixados,Pagamento de remuneração e amortização conforme apêndice; cronograma não localizado nos PDFs baixados,Curadoria Cloudwalk; oferta e volume extraídos de avisos/anúncios; spread não localizado,620354_emissao_emissao_620354_2024-03-14.pdf · 641900_emissao_emissao_641900_2024-04-16.pdf · 643244_emissao_emissao_643244_2024-04-22.pdf · 644984_emissao_emissao_644984_2024-04-25.pdf,curado documental; termos econômicos extraídos de regulamento/ata/oferta,data/regulatory_profiles/cloudwalk_cotas_emissoes_pagamentos.csv
CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,57.609.282/0001-46,1ª série sênior,Sênior,14/10/2024,Não identificada nos PDFs baixados,,1.680.000,"R$ 1.680.000.000,00","R$ 1.000,00","Taxa DI + 0,85% a.a.","Taxa DI + 0,85% a.a.",Remuneração mensal; amortização programada de 08/06/2027 a 08/11/2027,Curadoria Cloudwalk; apêndice sênior completo,757906_regulamento_regulamento_757906_2024-10-14.pdf · p.3-4 · ID 757906,curado documental; termos econômicos extraídos de regulamento/ata,data/regulatory_profiles/cloudwalk_cotas_emissoes_pagamentos.csv
CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,57.609.282/0001-46,1ª série mezanino,Mezanino,14/10/2024,Não identificada nos PDFs baixados,,260.000,"R$ 260.000.000,00","R$ 1.000,00","Taxa DI + 3,85% a.a.","Taxa DI + 3,85% a.a.",Remuneração mensal; amortização programada de 08/06/2027 a 08/11/2027,Curadoria Cloudwalk; apêndice mezanino completo,757906_regulamento_regulamento_757906_2024-10-14.pdf · p.6-7 · ID 757906,curado documental; termos econômicos extraídos de regulamento/ata,data/regulatory_profiles/cloudwalk_cotas_emissoes_pagamentos.csv
CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,60.356.171/0001-80,1ª série sênior,Sênior,11/04/2025,Não identificada nos PDFs baixados,,1.650.000.000,"R$ 1.650.000.000,00","R$ 1,00","Taxa DI + 0,95% a.a.","Taxa DI + 0,95% a.a.",Remuneração mensal; amortização programada de 23/05/2029 a 23/04/2030,Curadoria Cloudwalk; apêndice sênior completo,883040_regulamento_regulamento_883040_2025-04-11.pdf · p.6-8 · ID 883040,curado documental; termos econômicos extraídos de regulamento/ata,data/regulatory_profiles/cloudwalk_cotas_emissoes_pagamentos.csv
CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,60.356.171/0001-80,2ª série sênior,Sênior,11/04/2025,Não identificada nos PDFs baixados,,1.070.554.462,"R$ 1.070.554.462,00","R$ 1,00","Taxa DI + 0,95% a.a.","Taxa DI + 0,95% a.a.",Remuneração mensal; amortização programada de 23/05/2029 a 23/04/2030,Curadoria Cloudwalk; apêndice sênior completo,883040_regulamento_regulamento_883040_2025-04-11.pdf · p.10-11 · ID 883040,curado documental; termos econômicos extraídos de regulamento/ata,data/regulatory_profiles/cloudwalk_cotas_emissoes_pagamentos.csv
CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,60.356.171/0001-80,1ª série mezanino A,Mezanino,11/04/2025,Não identificada nos PDFs baixados,,,"R$ 226.712.872,00",,"Taxa DI + 1,70% a.a.","Taxa DI + 1,70% a.a.",Remuneração mensal; amortização programada de 23/05/2029 a 23/04/2030,Curadoria Cloudwalk; apêndice mezanino A completo,883040_regulamento_regulamento_883040_2025-04-11.pdf · p.15-17 · ID 883040,curado documental; termos econômicos extraídos de regulamento/ata,data/regulatory_profiles/cloudwalk_cotas_emissoes_pagamentos.csv
CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,60.356.171/0001-80,1ª série mezanino B,Mezanino,11/04/2025,Não identificada nos PDFs baixados,,,"R$ 194.325.319,59",,"Taxa DI + 4,99% a.a.","Taxa DI + 4,99% a.a.",Remuneração mensal; amortização programada de 23/05/2029 a 23/04/2030,Curadoria Cloudwalk; apêndice mezanino B completo,883040_regulamento_regulamento_883040_2025-04-11.pdf · p.19-21 · ID 883040,curado documental; termos econômicos extraídos de regulamento/ata,data/regulatory_profiles/cloudwalk_cotas_emissoes_pagamentos.csv
CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,62.393.679/0001-83,1ª série sênior,Sênior,08/09/2025,16/09/2025,,3.637.113,"R$3.637.113.000,00","R$ 1.000,00","Taxa DI + 0,75% a.a.","Taxa DI + 0,75% a.a.",Remuneração mensal; amortização programada de 15/10/2029 a 15/09/2030,Curadoria Cloudwalk; apêndice sênior completo,988402_regulamento_regulamento_988402_2025-09-09.pdf · p.8-10 · 1117954_regulamento_regulamento_1117954_2026-02-19.pdf · p.139-141,curado documental; termos econômicos extraídos de regulamento/ata,data/regulatory_profiles/cloudwalk_cotas_emissoes_pagamentos.csv
CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,62.393.679/0001-83,1ª série mezanino A,Mezanino,08/09/2025,16/09/2025,,303.093,"R$303.093.000,00","R$ 1.000,00","Taxa DI + 1,35% a.a.","Taxa DI + 1,35% a.a.",Remuneração mensal; amortização programada de 15/10/2029 a 15/09/2030,Curadoria Cloudwalk; apêndice mezanino A completo,1117954_regulamento_regulamento_1117954_2026-02-19.pdf · p.149-152,curado documental; termos econômicos extraídos de regulamento/ata,data/regulatory_profiles/cloudwalk_cotas_emissoes_pagamentos.csv
CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,62.393.679/0001-83,1ª série mezanino B,Mezanino,08/09/2025,16/09/2025,,259.794,"R$259.794.000,00","R$ 1.000,00","Taxa DI + 4,20% a.a.","Taxa DI + 4,20% a.a.",Remuneração mensal; amortização programada de 15/10/2029 a 15/09/2030,Curadoria Cloudwalk; apêndice mezanino B completo,1117954_regulamento_regulamento_1117954_2026-02-19.pdf · p.160-163,curado documental; termos econômicos extraídos de regulamento/ata,data/regulatory_profiles/cloudwalk_cotas_emissoes_pagamentos.csv
CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,62.393.679/0001-83,2ª série sênior,Sênior,19/02/2026,27/02/2026,03/03/2026,4.762.886,"R$4.762.886.000,00","R$ 1.000,00","Taxa DI + 0,75% a.a.","Taxa DI + 0,75% a.a.",Remuneração mensal; amortização programada de 26/03/2030 a 26/02/2031,Curadoria Cloudwalk; apêndice sênior completo,1117954_regulamento_regulamento_1117954_2026-02-19.pdf · p.142-145 · 1124808_emissao_emissao_1124808_2026-02-27.pdf,curado documental; termos econômicos extraídos de regulamento/ata/oferta,data/regulatory_profiles/cloudwalk_cotas_emissoes_pagamentos.csv
CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,62.393.679/0001-83,2ª série mezanino A,Mezanino,19/02/2026,27/02/2026,03/03/2026,396.907,"R$396.907.000,00","R$ 1.000,00","Taxa DI + 1,35% a.a.","Taxa DI + 1,35% a.a.",Remuneração mensal; amortização programada de 26/03/2030 a 26/02/2031,Curadoria Cloudwalk; apêndice mezanino A completo,1117954_regulamento_regulamento_1117954_2026-02-19.pdf · p.153-156,curado documental; termos econômicos extraídos de regulamento/ata,data/regulatory_profiles/cloudwalk_cotas_emissoes_pagamentos.csv
CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,62.393.679/0001-83,2ª série mezanino B,Mezanino,19/02/2026,27/02/2026,03/03/2026,340.207,"R$340.207.000,00","R$ 1.000,00","Taxa DI + 4,20% a.a.","Taxa DI + 4,20% a.a.",Remuneração mensal; amortização programada de 26/03/2030 a 26/02/2031,Curadoria Cloudwalk; apêndice mezanino B completo,1117954_regulamento_regulamento_1117954_2026-02-19.pdf · p.164-166,curado documental; termos econômicos extraídos de regulamento/ata,data/regulatory_profiles/cloudwalk_cotas_emissoes_pagamentos.csv
